日付け,投稿数
1,1
2,2
3,0
4,0
5,0
6,2
7,2
8,3
9,0
10,0
11,0
12,1
13,0
14,0
15,2
16,1
17,0
18,0
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
